datetime,price,signal,proposal,proposal_reason,decision,decision_reason,qty,executed,equity,pnl,drawdown
2025-02-03 14:30:00+00:00,7.88,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-02-03 14:45:00+00:00,7.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 15:00:00+00:00,7.46,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 15:15:00+00:00,7.5,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 15:30:00+00:00,7.45,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 15:45:00+00:00,7.49,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 16:00:00+00:00,7.85,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 16:15:00+00:00,7.71,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 16:30:00+00:00,7.71,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 16:45:00+00:00,7.66,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 17:00:00+00:00,7.66,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-03 17:15:00+00:00,7.62,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-02-03 17:30:00+00:00,7.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 17:45:00+00:00,7.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 18:00:00+00:00,7.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 18:15:00+00:00,7.62,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 18:30:00+00:00,7.67,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-03 18:45:00+00:00,7.67,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 19:00:00+00:00,7.61,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 19:15:00+00:00,7.61,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 19:30:00+00:00,7.74,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-02-03 19:45:00+00:00,7.71,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 20:00:00+00:00,7.65,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 20:15:00+00:00,7.69,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-03 20:30:00+00:00,7.6,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-03 20:45:00+00:00,7.71,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-02-03 21:00:00+00:00,7.71,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 14:30:00+00:00,7.65,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-04 14:45:00+00:00,7.73,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 15:00:00+00:00,7.78,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 15:15:00+00:00,8.0,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 15:30:00+00:00,8.25,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 15:45:00+00:00,8.07,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 16:00:00+00:00,8.02,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 16:15:00+00:00,8.02,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 16:30:00+00:00,8.25,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 16:45:00+00:00,8.6,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 17:00:00+00:00,8.44,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 17:15:00+00:00,8.66,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 17:30:00+00:00,8.72,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 17:45:00+00:00,8.7,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 18:00:00+00:00,8.48,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 18:15:00+00:00,8.65,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 18:30:00+00:00,8.57,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 18:45:00+00:00,8.45,buy,buy,trend_buy,buy,execute_trend_buy,100,False,0.0,0.0,0.0
2025-02-04 19:00:00+00:00,8.45,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 19:15:00+00:00,8.63,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 19:30:00+00:00,8.61,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 19:45:00+00:00,8.65,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 20:00:00+00:00,8.6,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 20:15:00+00:00,8.48,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 20:30:00+00:00,8.64,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 20:45:00+00:00,8.44,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-04 21:00:00+00:00,8.41,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 14:30:00+00:00,9.19,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 14:45:00+00:00,8.77,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-02-05 15:00:00+00:00,8.9,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 15:15:00+00:00,8.93,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 15:30:00+00:00,9.14,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 15:45:00+00:00,8.88,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 16:00:00+00:00,8.81,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 16:15:00+00:00,9.0,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 16:30:00+00:00,9.0,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 16:45:00+00:00,8.98,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 17:00:00+00:00,8.91,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-05 17:15:00+00:00,8.91,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-02-05 17:30:00+00:00,8.91,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 17:45:00+00:00,8.9,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-05 18:00:00+00:00,8.93,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 18:15:00+00:00,8.93,avoid,hold,avoid_no_position,hold,execute_avoid_no_position,0,False,0.0,0.0,0.0
2025-02-05 18:30:00+00:00,9.0,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 18:45:00+00:00,8.85,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-05 19:00:00+00:00,8.85,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 19:15:00+00:00,8.67,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-05 19:30:00+00:00,8.55,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 19:45:00+00:00,8.56,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 20:00:00+00:00,8.55,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 20:15:00+00:00,8.66,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 20:30:00+00:00,8.58,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 20:45:00+00:00,8.65,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-05 21:00:00+00:00,8.6,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-06 14:30:00+00:00,9.01,sell,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-06 14:45:00+00:00,8.88,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-06 15:00:00+00:00,8.88,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-06 15:15:00+00:00,7.24,reduce,hold,no_position,hold,execute_no_position,0,False,0.0,0.0,0.0
2025-02-06 15:30:00+00:00,5.65,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-06 15:45:00+00:00,5.58,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-06 16:00:00+00:00,6.41,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-06 16:15:00+00:00,6.41,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-06 16:30:00+00:00,6.33,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-06 16:45:00+00:00,6.25,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
2025-02-06 17:00:00+00:00,6.18,hold,hold,default_hold,hold,execute_default_hold,0,False,0.0,0.0,0.0
