date,date,open,high,low,close,volume,session_date,ma20,ma50,ma20_slope,atr_pct,distance_to_high,volume_ratio,gap_pct,price_vs_vwap,symbol_trend_factor,symbol_trend_slope_factor,symbol_volatility_factor,symbol_liquidity_factor,symbol_position_factor,symbol_intraday_intent_factor,symbol_trend_strength,symbol_trend_slope,symbol_volatility_state,symbol_position_quality,symbol_intraday_intent,symbol_liquidity_quality,symbol_exhaustion_risk,symbol_failure_risk,symbol_reversal_pressure,symbol_state,rs_z_sector,rs_momentum_z_sector,breadth_frac_sector,breadth_momentum_sector,vol_ratio_z_sector,vol_trend_z_sector,sector_relative_strength_factor_sector,sector_breadth_factor_sector,sector_participation_factor_sector,sector_momentun_factor_sector,sector_support_score_sector,sector_breadth_health_sector,sector_momentum_sector,sector_state_sector,spy_trend_z_macro,vix_z_macro,hy_oas_z_macro,macro_trend_factor_macro,macro_volatility_factor_macro,macro_credit_risk_factor_macro,macro_trend_strength_macro,macro_risk_pressure_macro,macro_state_macro,action_signal
2025-01-02 14:30:00+00:00,2025-01-02 14:30:00+00:00,5.25,5.3,5.23,5.3,138490.0,2025-01-02,,,,,,,,0.004421983575489426,-0.7,0.0,,,,,-0.7,0.0,,,,,,,,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 15:00:00+00:00,2025-01-02 15:00:00+00:00,5.2994,5.54,5.2606,5.535,1096433.0,2025-01-02,,,,,,,-0.00011320754716971507,0.02003208684694001,-0.7,0.0,,,,0.009959439649885146,-0.7,0.0,,,0.009959439649885146,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 15:30:00+00:00,2025-01-02 15:30:00+00:00,5.535,5.58,5.45,5.49,676318.0,2025-01-02,,,,,,,0.0,0.006464335192223297,-0.7,0.0,,,,0.0032321675961116485,-0.7,0.0,,,0.0032321675961116485,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 16:00:00+00:00,2025-01-02 16:00:00+00:00,5.49,5.6,5.48,5.59,565845.0,2025-01-02,,,,,,,0.0,0.020441261894850536,-0.7,0.0,,,,0.010220630947425268,-0.7,0.0,,,0.010220630947425268,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 16:30:00+00:00,2025-01-02 16:30:00+00:00,5.595,5.63,5.56,5.585,697988.0,2025-01-02,,,,,,,0.0008944543828264568,0.014900011301802248,-0.7,0.0,,,,0.007897232842314353,-0.7,0.0,,,0.007897232842314353,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 17:00:00+00:00,2025-01-02 17:00:00+00:00,5.5807,5.65,5.58,5.605,480736.0,2025-01-02,,,,,,,-0.0007699194270366605,0.015896549967480283,-0.7,0.0,,,,0.007563315270221811,-0.7,0.0,,,0.007563315270221811,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 17:30:00+00:00,2025-01-02 17:30:00+00:00,5.6,5.655,5.5905,5.605,405648.0,2025-01-02,,,,,,,-0.0008920606601250278,0.014069277395089794,-0.7,0.0,,,,0.006588608367482383,-0.7,0.0,,,0.006588608367482383,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 18:00:00+00:00,2025-01-02 18:00:00+00:00,5.6009,5.65,5.58,5.65,393584.0,2025-01-02,,,,,,,-0.0007314897413024468,0.0205887834119015,-0.7,0.0,,,,0.009928646835299525,-0.7,0.0,,,0.009928646835299525,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 18:30:00+00:00,2025-01-02 18:30:00+00:00,5.645,5.66,5.59,5.59,285330.0,2025-01-02,,,,,,,-0.0008849557522125277,0.008902585195546351,-0.7,0.0,,,,0.004008814721666911,-0.7,0.0,,,0.004008814721666911,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 19:00:00+00:00,2025-01-02 19:00:00+00:00,5.595,5.65,5.5909,5.605,227852.0,2025-01-02,5.5555,,,,,0.4586186130093973,0.0008944543828264568,0.010985346495442748,-0.7,0.0,,0.4586186130093973,,0.0059399004391346025,-0.7,0.0,,,0.0059399004391346025,0.4586186130093973,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 19:30:00+00:00,2025-01-02 19:30:00+00:00,5.61,5.63,5.58,5.625,208537.0,2025-01-02,5.588,,0.03249999999999975,,,0.41390588160104924,0.0008920606601248694,0.014094901556257936,-0.39999999999999997,1.0,,0.41390588160104924,,0.007493481108191403,-0.39999999999999997,1.0,,,0.007493481108191403,0.41390588160104924,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 20:00:00+00:00,2025-01-02 20:00:00+00:00,5.63,5.65,5.61,5.615,249191.0,2025-01-02,5.596,,0.008000000000000007,,,0.5945819033941306,0.00088888888888887,0.011637214038478713,-0.39999999999999997,1.0,,0.5945819033941306,,0.006263051463683791,-0.39999999999999997,1.0,,,0.006263051463683791,0.5945819033941306,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 20:30:00+00:00,2025-01-02 20:30:00+00:00,5.611,5.66,5.6101,5.65,258233.0,2025-01-02,5.612,,0.016000000000000014,,,0.6844336942186261,-0.0007123775601069363,0.017196863359948803,-0.39999999999999997,1.0,,0.6844336942186261,,0.008242242899920933,-0.39999999999999997,1.0,,,0.008242242899920933,0.6844336942186261,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 21:00:00+00:00,2025-01-02 21:00:00+00:00,5.645,5.7,5.63,5.68,812496.0,2025-01-02,5.621,,0.009000000000000341,,,2.0213379706164427,-0.0008849557522125277,0.019945021100835278,-0.39999999999999997,1.0,,2.0213379706164427,,0.009530032674311375,-0.39999999999999997,1.0,,,0.009530032674311375,2.0213379706164427,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-03 14:30:00+00:00,2025-01-03 14:30:00+00:00,5.7,5.73,5.64,5.6475,167319.0,2025-01-03,5.62725,,0.006249999999999645,,0.01460823373173979,0.4795716504162026,0.003521126760563462,0.013635737494609453,-0.39999999999999997,1.0,,0.4795716504162026,-0.01460823373173979,0.008578432127586457,-0.39999999999999997,1.0,,-0.01460823373173979,0.008578432127586457,0.4795716504162026,0.004289216063793229,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-03 15:00:00+00:00,2025-01-03 15:00:00+00:00,5.63,5.77,5.6,5.64,558979.0,2025-01-03,5.630750000000001,,0.0035000000000007248,,0.023049645390070903,1.5670101416557498,-0.0030987162461266174,0.010906906711199881,-0.39999999999999997,1.0,,1.5670101416557498,-0.023049645390070903,0.003904095232536632,-0.39999999999999997,1.0,,-0.023049645390070903,0.003904095232536632,1.5670101416557498,0.001952047616268316,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-03 15:30:00+00:00,2025-01-03 15:30:00+00:00,5.635,5.71,5.62,5.64,277635.0,2025-01-03,5.63425,,0.0034999999999989484,,0.023049645390070903,0.807276552735613,-0.0008865248226950166,0.010387270456616138,-0.39999999999999997,1.0,,0.807276552735613,-0.023049645390070903,0.004750372816960561,-0.39999999999999997,1.0,,-0.023049645390070903,0.004750372816960561,0.807276552735613,0.0023751864084802805,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-03 16:00:00+00:00,2025-01-03 16:00:00+00:00,5.64,5.65,5.53,5.53,279633.0,2025-01-03,5.62225,,-0.011999999999999567,,0.04339963833634707,0.8409496557355111,0.0,-0.00924219769034358,-1.0,-1.0,,0.8409496557355111,-0.04339963833634707,-0.00462109884517179,-1.0,-1.0,,-0.04339963833634707,-0.00462109884517179,0.8409496557355111,0.0,,0.5023105494225859,risk_rising,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,reduce
2025-01-03 16:30:00+00:00,2025-01-03 16:30:00+00:00,5.535,5.55,5.46,5.5054,447941.0,2025-01-03,5.61379,,-0.008460000000000356,,0.0480619028590111,1.284302268238921,0.0009041591320072139,-0.012913496691779675,-1.0,-1.0,,1.284302268238921,-0.0480619028590111,-0.006004668779886231,-1.0,-1.0,,-0.0480619028590111,-0.006004668779886231,1.284302268238921,0.0,,0.5030023343899431,risk_rising,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,reduce
2025-01-03 17:00:00+00:00,2025-01-03 17:00:00+00:00,5.51,5.55,5.49,5.52,357415.0,2025-01-03,5.60529,5.580395,-0.00849999999999973,0.016610507246376822,0.045289855072463775,0.9880496348322915,0.0008355432847749369,-0.009871421983978697,0.39999999999999997,-1.0,0.016610507246376822,0.9880496348322915,-0.045289855072463775,-0.00451793934960188,0.39999999999999997,-1.0,0.016610507246376822,-0.045289855072463775,-0.00451793934960188,0.9880496348322915,0.0,0.011773480087666845,0.502258969674801,trend_late,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,reduce
2025-01-03 17:30:00+00:00,2025-01-03 17:30:00+00:00,5.52,5.57,5.515,5.545,375814.0,2025-01-03,5.59729,5.592645,-0.008000000000000007,0.016400360685302092,0.04057709648331824,0.992993815025725,0.0,-0.00514991483509407,0.39999999999999997,-1.0,0.016400360685302092,0.992993815025725,-0.04057709648331824,-0.002574957417547035,0.39999999999999997,-1.0,0.016400360685302092,-0.04057709648331824,-0.002574957417547035,0.992993815025725,0.0,0.010870199378200069,0.5012874787087735,trend_late,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,reduce
2025-01-03 18:00:00+00:00,2025-01-03 18:00:00+00:00,5.545,5.57,5.53,5.565,243939.0,2025-01-03,5.59229,5.594145,-0.004999999999999893,0.014190476190476212,0.03683737646001782,0.6454430381086541,0.0,-0.001472840785941233,-1.0,-1.0,0.014190476190476212,0.6454430381086541,-0.03683737646001782,-0.0007364203929706166,-1.0,-1.0,0.014190476190476212,-0.03683737646001782,-0.0007364203929706166,0.6454430381086541,0.0,0.008808853871473973,0.5003682101964854,risk_rising,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,reduce
2025-01-03 18:30:00+00:00,2025-01-03 18:30:00+00:00,5.565,5.6,5.565,5.5905,218873.0,2025-01-03,5.58634,5.59917,-0.005950000000000344,0.013276093372685824,0.03210804042572221,0.5852150402508633,0.0,0.003052636561273368,-1.0,-1.0,0.013276093372685824,0.5852150402508633,-0.03210804042572221,0.001526318280636684,-1.0,-1.0,0.013276093372685824,-0.03210804042572221,0.001526318280636684,0.5852150402508633,0.000763159140318342,0.007965656023611494,0.5,risk_rising,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,reduce
2025-01-03 19:00:00+00:00,2025-01-03 19:00:00+00:00,5.595,5.65,5.59,5.6425,248767.0,2025-01-03,5.582590000000001,5.601795,-0.003749999999999254,0.012622064687638483,0.022596366858661853,0.7831937323596684,0.0008049369466058797,0.012130265519539043,-1.0,-1.0,0.012622064687638483,0.7831937323596684,-0.022596366858661853,0.006467601233072461,-1.0,-1.0,0.012622064687638483,-0.022596366858661853,0.006467601233072461,0.7831937323596684,0.0032338006165362307,0.00757323881258309,0.5,risk_rising,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,reduce
2025-01-03 19:30:00+00:00,2025-01-03 19:30:00+00:00,5.645,5.6673,5.64,5.65,137566.0,2025-01-03,5.58284,5.605045,0.00024999999999941735,0.01222743362831861,0.021238938053097206,0.4371946270246701,0.0004430660168364205,0.013277918566147455,-0.39999999999999997,1.0,0.01222743362831861,0.4371946270246701,-0.021238938053097206,0.0068604922914919375,-0.39999999999999997,1.0,0.01222743362831861,-0.021238938053097206,0.0068604922914919375,0.4371946270246701,0.0034302461457459688,0.007336460176991166,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-03 20:00:00+00:00,2025-01-03 20:00:00+00:00,5.6576,5.69,5.65,5.685,125722.0,2025-01-03,5.587339999999999,5.609045,0.004499999999999282,0.011888302550571706,0.014951627088830249,0.46335373280924924,0.0013451327433628409,0.019325785898038295,-0.39999999999999997,1.0,0.011888302550571706,0.46335373280924924,-0.014951627088830249,0.010335459320700568,-0.39999999999999997,1.0,0.011888302550571706,-0.014951627088830249,0.010335459320700568,0.46335373280924924,0.005167729660350284,0.007132981530343023,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-03 20:30:00+00:00,2025-01-03 20:30:00+00:00,5.6802,5.72,5.68,5.72,267979.0,2025-01-03,5.59534,5.614794999999999,0.008000000000000895,0.011601398601398622,0.00874125874125871,0.991175259806284,-0.0008443271767809098,0.02497654846391447,-0.39999999999999997,1.0,0.011601398601398622,0.991175259806284,-0.00874125874125871,0.012066110643566781,-0.39999999999999997,1.0,0.011601398601398622,-0.00874125874125871,0.012066110643566781,0.991175259806284,0.006033055321783391,0.0069608391608391735,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-03 21:00:00+00:00,2025-01-03 21:00:00+00:00,5.71,5.75,5.68,5.72,646411.0,2025-01-03,5.61434,5.618295,0.019000000000000128,0.011601398601398622,0.00874125874125871,2.105280470761884,-0.001748251748251711,0.02349007940959481,-0.39999999999999997,1.0,0.011601398601398622,2.105280470761884,-0.00874125874125871,0.01087091383067155,-0.39999999999999997,1.0,0.011601398601398622,-0.00874125874125871,0.01087091383067155,2.105280470761884,0.005435456915335775,0.0069608391608391735,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-06 14:30:00+00:00,2025-01-06 14:30:00+00:00,5.95,5.9999,5.91,5.915,216960.0,2025-01-06,5.6553,5.634545,0.04096000000000011,0.01299323753169909,0.014353338968723617,0.7640927138603799,0.040209790209790285,0.057073252656995054,1.0,1.0,0.01299323753169909,0.7640927138603799,-0.014353338968723617,0.04864152143339267,1.0,1.0,0.01299323753169909,-0.014353338968723617,0.04864152143339267,0.7640927138603799,0.024320760716696335,0.007795942519019454,0.0,breakout_setup,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,avoid
2025-01-06 15:00:00+00:00,2025-01-06 15:00:00+00:00,5.915,5.97,5.84,5.94,925758.0,2025-01-06,5.6973,5.651294999999999,0.041999999999999815,0.013527777777777793,0.010084175084175057,2.716594249233154,0.0,0.05686079605462325,1.0,1.0,0.013527777777777793,2.716594249233154,-0.010084175084175057,0.028430398027311624,1.0,1.0,0.013527777777777793,-0.010084175084175057,0.028430398027311624,2.716594249233154,0.014215199013655812,0.008116666666666675,0.0,breakout_setup,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,avoid
2025-01-06 15:30:00+00:00,2025-01-06 15:30:00+00:00,5.939,6.01,5.9,6.0,474221.0,2025-01-06,5.7428,5.670045,0.04549999999999965,0.01389250000000001,0.0016666666666666312,1.352522791081845,-0.00016835016835022455,0.06501654617983023,1.0,1.0,0.01389250000000001,1.352522791081845,-0.0016666666666666312,0.032424098005740004,1.0,1.0,0.01389250000000001,-0.0016666666666666312,0.032424098005740004,1.352522791081845,0.016212049002870002,0.008335500000000006,0.0,breakout_setup,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,avoid
2025-01-06 16:00:00+00:00,2025-01-06 16:00:00+00:00,6.0089,6.05,5.96,6.01,397855.0,2025-01-06,5.7873,5.689795,0.044500000000000206,0.014285357737104836,0.0066555740432612375,1.087002255668679,0.001483333333333281,0.06461211850532239,1.0,1.0,0.014285357737104836,1.087002255668679,-0.0066555740432612375,0.033047725919327836,1.0,1.0,0.014285357737104836,-0.0066555740432612375,0.033047725919327836,1.087002255668679,0.016523862959663918,0.008571214642262901,0.0,breakout_setup,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,avoid
2025-01-06 16:30:00+00:00,2025-01-06 16:30:00+00:00,6.005,6.02,5.96,5.97,216327.0,2025-01-06,5.82525,5.705795,0.037949999999999484,0.014465661641541045,0.013400335008375222,0.5914507079298091,-0.0008319467554076363,0.0564802351179466,1.0,1.0,0.014465661641541045,0.5914507079298091,-0.013400335008375222,0.02782414418126948,1.0,1.0,0.014465661641541045,-0.013400335008375222,0.02782414418126948,0.5914507079298091,0.01391207209063474,0.008679396984924627,0.0,breakout_setup,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,avoid
2025-01-06 17:00:00+00:00,2025-01-06 17:00:00+00:00,5.975,5.9999,5.885,5.886,393269.0,2025-01-06,5.849600000000001,5.716095,0.024350000000000982,0.015053516819571873,0.02786272511043148,1.0343555138940177,0.0008375209380234328,0.04014971738835809,1.0,1.0,0.015053516819571873,1.0343555138940177,-0.02786272511043148,0.02049361916319076,1.0,1.0,0.015053516819571873,-0.02786272511043148,0.02049361916319076,1.0343555138940177,0.01024680958159538,0.009032110091743123,0.0,breakout_setup,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,avoid
