date,date,open,high,low,close,volume,session_date,ma20,ma50,ma20_slope,atr_pct,distance_to_high,range_low,range_high,range_position,volume_ratio,gap_pct,price_vs_vwap,symbol_trend_factor,symbol_trend_slope_factor,symbol_volatility_factor,symbol_liquidity_factor,symbol_position_factor,symbol_range_position_factor,symbol_intraday_intent_factor,symbol_trend_strength,symbol_trend_slope,symbol_volatility_state,symbol_position_quality,symbol_range_position,symbol_intraday_intent,symbol_liquidity_quality,symbol_exhaustion_risk,symbol_failure_risk,symbol_reversal_pressure,symbol_state,rs_z_sector,rs_momentum_z_sector,breadth_frac_sector,breadth_momentum_sector,vol_ratio_z_sector,vol_trend_z_sector,sector_relative_strength_factor_sector,sector_breadth_factor_sector,sector_participation_factor_sector,sector_momentun_factor_sector,sector_support_score_sector,sector_breadth_health_sector,sector_momentum_sector,sector_state_sector,spy_trend_z_macro,vix_z_macro,hy_oas_z_macro,macro_trend_factor_macro,macro_volatility_factor_macro,macro_credit_risk_factor_macro,macro_trend_strength_macro,macro_risk_pressure_macro,macro_state_macro,action_signal
2025-01-02 14:30:00+00:00,2025-01-02 14:30:00+00:00,5.25,5.3,5.23,5.3,138490.0,2025-01-02,,,,,,,,,,,0.004421983575489426,-0.7,0.0,,,,,,-0.7,0.0,,,,,,,,,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 14:45:00+00:00,2025-01-02 14:45:00+00:00,5.2994,5.51,5.2606,5.5025,551422.0,2025-01-02,,,,,,,,,,-0.00011320754716971507,0.019979172790691547,-0.7,0.0,,,,,0.009932982621760915,-0.7,0.0,,,,0.009932982621760915,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 15:00:00+00:00,2025-01-02 15:00:00+00:00,5.51,5.54,5.435,5.535,545011.0,2025-01-02,,,,,,,,,,0.0013630168105405534,0.016967198828919016,-0.7,0.0,,,,,0.009165107819729785,-0.7,0.0,,,,0.009165107819729785,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 15:15:00+00:00,2025-01-02 15:15:00+00:00,5.535,5.58,5.47,5.4795,493547.0,2025-01-02,,,,,,,,,,0.0,0.0032340850564915257,-0.7,0.0,,,,,0.0016170425282457628,-0.7,0.0,,,,0.0016170425282457628,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 15:30:00+00:00,2025-01-02 15:30:00+00:00,5.47,5.52,5.45,5.49,182771.0,2025-01-02,,,,,,,,,,-0.0017337348298202507,0.004719710933664546,-0.7,0.0,,,,,0.0014929880519221478,-0.7,0.0,,,,0.0014929880519221478,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 15:45:00+00:00,2025-01-02 15:45:00+00:00,5.49,5.57,5.48,5.55,185804.0,2025-01-02,,,,,,,,,,0.0,0.014563097185684723,-0.7,0.0,,,,,0.007281548592842362,-0.7,0.0,,,,0.007281548592842362,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 16:00:00+00:00,2025-01-02 16:00:00+00:00,5.55,5.6,5.54,5.59,380041.0,2025-01-02,,,,,,,,,,0.0,0.018836878638937963,-0.7,0.0,,,,,0.009418439319468981,-0.7,0.0,,,,0.009418439319468981,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 16:15:00+00:00,2025-01-02 16:15:00+00:00,5.595,5.63,5.58,5.58,363545.0,2025-01-02,,,,,,,,,,0.0008944543828264568,0.014411034149957041,-0.7,0.0,,,,,0.007652744266391749,-0.7,0.0,,,,0.007652744266391749,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 16:30:00+00:00,2025-01-02 16:30:00+00:00,5.585,5.61,5.56,5.585,334443.0,2025-01-02,,,,,,,,,,0.0008960573476702318,0.013684206001079606,-0.7,0.0,,,,,0.007290131674374919,-0.7,0.0,,,,0.007290131674374919,,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
2025-01-02 16:45:00+00:00,2025-01-02 16:45:00+00:00,5.5807,5.62,5.58,5.6199,311980.0,2025-01-02,5.5231900000000005,,,,,,,,0.8946807247607865,-0.0007699194270366605,0.01841399116486171,-0.7,0.0,,0.8946807247607865,,,0.008822035868912524,-0.7,0.0,,,,0.008822035868912524,0.8946807247607865,,,0.0,range_neutral,,,0.0,,,,,0.0,,,,0.0,,weak,,,,,,,,,neutral,hold
